PheCode:189,PheCode:189.1,PheCode:189.12,PheCode:199,PheCode:593,PheCode:189.11,PheCode:189.2,PheCode:189.21,PheCode:189.4,PheCode:198,PheCode:223,PheCode:195,PheCode:198.3,PheCode:195.1,PheCode:586,PheCode:586.2,PheCode:751,PheCode:751.2,PheCode:751.22,PheCode:275.6,PheCode:589,PheCode:514,PheCode:514.2,PheCode:586.4,PheCode:255,RXNORM:993449,PheCode:593.1,PheCode:198.1,PheCode:198.2,PheCode:743.2,PheCode:260.6,PheCode:198.5,PheCode:198.6,PheCode:170,PheCode:170.1,PheCode:743.22,PheCode:751.21,PheCode:194,PheCode:759,PheCode:580.4,PheCode:586.3,PheCode:155,PheCode:155.1,RXNORM:714438,PheCode:198.4,RXNORM:5880,RXNORM:141704,PheCode:198.7,RXNORM:1597876,RXNORM:357977,RXNORM:1547545,RXNORM:1363268,RXNORM:1242999,RXNORM:495881
-0.5397138,-0.4302599,-0.2737698,-0.5013602,-0.413562,-0.4078651,-0.5102905,-0.5013291,-0.2956491,-0.8392616,-0.1965218,-0.7418998,-0.5218909,-0.6552157,-0.4997843,-0.2797582,-0.2501359,-0.2321193,-0.1273682,-0.5506918,-0.1622543,-0.5423581,-0.4203798,-0.4030644,-0.4356214,-0.1563242,-0.4016641,-0.687403,-0.6457563,-0.4165541,-0.4198442,-0.5930473,-0.6665609,-0.4730728,-0.3677337,-0.2446049,-0.2220682,-0.1955204,-0.1134848,-0.1347922,-0.1513786,-0.5116369,-0.4713181,-0.1706413,-0.6633524,-0.2161148,-0.2086175,-0.2441182,-0.2560082,-0.1954391,-0.1744851,-0.07055282,-0.1125224,-0.2705979
0.2820252,0.2782,0.1789619,0.2600683,0.124069,0.26781,0.2481565,0.2501828,0.1755186,0.5709261,0.06941318,0.492976,0.4190185,0.4771282,0.3051936,0.1079185,0.08116504,0.09098687,0.06438149,0.4196376,0.06937866,0.3463408,0.2155779,0.2402342,0.2820242,0.06009439,0.1899514,0.4864945,0.4979821,0.1967362,0.300419,0.3749167,0.4475235,0.3112155,0.2272329,0.1120701,0.08132026,0.08027903,0.02481983,0.08185134,0.1009429,0.3519484,0.3126299,0.0954057,0.5203314,0.1106591,0.1258636,0.1598316,0.1611116,0.1203083,0.1113708,0.0379398,0.05658068,0.1755416
0.1154298,0.01014481,0.02157109,0.1529064,0.109234,0.001339868,0.1271388,0.1190127,0.05933628,-0.1035295,0.1156741,-0.0618102,-0.1484089,-0.1073291,-0.05798135,0.05618414,0.07519177,0.05874636,0.008752273,-0.1725724,-0.007650556,-0.07801167,-0.005689741,-0.005631634,-0.1130115,0.04424427,0.03197606,-0.05041303,-0.1421254,-0.0710364,-0.1813916,-0.1358529,-0.1114005,0.006725749,-0.008420704,-0.03404716,0.06267604,0.04812722,0.05513704,0.000497542,-0.01016703,-0.1786752,-0.1703317,-0.004995754,-0.1813065,0.02763796,-0.03364067,0.007912004,-0.01432326,-0.02274318,-0.0280738,-0.02613331,-0.003864868,-0.09476984
0.1326613,0.2173967,0.1193764,0.3554086,-0.08044172,0.2288605,0.07104033,0.08228593,0.08618205,0.5855577,0.002893458,0.5151045,0.2900834,0.4916792,-0.1053032,-0.01719424,0.001757507,0.02094209,-0.05408455,0.3723796,0.008954627,0.06763904,0.06903024,-0.08891591,0.000933901,0.1112028,-0.1170987,0.6139029,0.4942244,-0.000211073,0.1024042,0.3759034,0.5351086,0.4038795,0.2795729,-0.04047517,0.03059639,0.1090281,0.0119529,-0.03350301,-0.0434064,0.2741783,0.2324164,0.1075512,0.4977813,0.2770603,0.09667113,0.213194,0.2696706,0.1210952,0.08301083,-0.03751958,0.0448905,0.1728485
0.1819932,0.06037858,0.04775289,0.05073959,0.1928396,0.04272578,0.17427,0.160647,0.04651819,0.08356277,0.07008498,0.03873285,-0.04681982,-0.04569746,0.09365301,0.07939711,0.05983658,0.06110468,0.03998719,-0.01412028,0.04951788,0.01420635,0.04345707,0.04746176,-0.02417119,0.06277641,0.09927833,0.02160901,-0.02203633,-0.1123978,-0.04298712,-0.0958968,0.001617536,-0.01851093,-0.04797975,-0.04779911,0.0619653,0.02424927,0.04241962,0.04614897,0.03284346,0.04371397,0.03942487,0.03323462,0.001661198,0.0642273,0.02665078,0.0209911,0.05092397,0.01465584,0.06014184,0.03393593,0.0481458,0.01350536
-0.383657,-0.1862876,-0.1454284,-0.229758,-0.2389788,-0.1582881,-0.3330229,-0.3171099,-0.1748071,-0.5155762,-0.1445741,-0.3809379,-0.121813,-0.1874605,-0.0651425,-0.05957558,-0.07256253,-0.03675511,-0.08943025,0.06253541,-0.02294375,-0.06927797,-0.05602975,-0.1181085,0.04745085,-0.09816058,-0.1297702,-0.3529284,-0.1921011,-0.05673586,0.03585446,-0.114188,-0.2335205,-0.1807874,-0.1346737,-0.1014657,-0.02745225,-0.0973199,-0.09177405,-0.0644447,-0.03741301,-0.04645992,-0.0132067,-0.1038134,-0.1826932,-0.07966737,-0.0860866,-0.1503602,-0.1001721,-0.09585117,-0.07656408,-0.06856638,-0.1087736,-0.02883642
-0.4802749,-0.3092641,-0.2776367,-0.5858592,0.1203473,-0.2949313,-0.4548338,-0.4702773,-0.4492424,-0.617577,-0.3233248,-0.6377421,-0.6034582,-0.6240112,0.179195,0.1744336,0.0724985,0.08306967,0.00785209,0.2481727,0.1795899,0.1032198,0.126598,-0.1454311,0.2976414,0.0741764,0.01611797,-0.7846776,-0.5513455,0.2919353,0.0450425,-0.3104921,-0.1905933,-0.4836406,-0.2925337,0.005672166,0.1005899,-0.06423916,-0.0594719,0.06253288,0.04170679,-0.09488958,-0.03315711,-0.03580014,-0.5276954,-0.07528958,0.03099061,-0.2762966,-0.06950064,-0.06365048,0.0853511,0.1227621,0.03869991,-0.003271079
0.2182248,0.1700989,0.1311229,0.265211,0.3372867,0.1616634,0.2810677,0.2801123,0.1753284,-0.06900149,0.1323442,0.02201782,0.2093397,0.1527827,0.1221836,0.270098,0.2293632,0.1587641,-0.01220323,0.1247466,0.08596326,0.1441868,0.2429418,0.3075742,0.2221611,0.02962338,0.3557764,0.1580157,0.1602126,0.1383104,0.1550861,0.05873298,0.1040109,0.1542367,0.09347965,-0.03073437,0.143113,0.09683976,-0.02629481,-0.03712539,-0.07587476,0.1111214,0.1184652,-0.01935341,0.1772567,0.00396433,0.0115254,0.00078699,0.05093062,-0.004143674,0.03024508,-0.01795784,-0.07776751,0.03661128
-0.2550272,-0.1829446,-0.149819,-0.4099144,0.1021248,-0.1854675,-0.2339404,-0.2335981,-0.184514,-0.6860076,-0.05663579,-0.7763745,-0.2735294,-0.5837907,0.3030343,0.1063049,0.1400923,0.1943111,0.01350473,-0.1069958,0.0615387,0.0454923,-0.02628564,-0.1205332,0.07016435,-0.06335852,-0.03194191,-0.7154801,-0.486201,-0.5058113,-0.1678186,-0.6063672,-0.5861127,-0.5719967,-0.4848854,-0.3109418,0.2069424,-0.07906464,-0.01152233,0.08389814,0.1531613,0.02634438,0.06476889,-0.1863292,-0.3692601,-0.138803,-0.1255122,-0.2979713,-0.1712176,-0.1997173,-0.1012578,-0.0932961,-0.09422092,-0.1265835
0.7089349,0.5438835,0.3546873,0.6631287,0.5369751,0.5130122,0.6317189,0.6113403,0.269005,1.354829,0.08765618,1.125766,0.7006335,0.8488054,0.3461214,0.3823999,0.1522791,0.1010172,0.0932221,0.4145645,0.1465543,0.7689765,0.6776575,0.422713,0.3957542,0.2149226,0.4481104,1.23074,1.083244,0.1828474,0.4777707,0.7809349,0.9223236,0.5195059,0.3751227,0.05159344,0.08145426,0.2552275,0.06213617,0.06755065,-0.01915037,0.5791177,0.4782991,0.2769709,1.051206,0.2362076,0.2612084,0.3756142,0.4527326,0.2672603,0.389203,0.2137997,0.1856394,0.2919681
